Date,Open,High,Low,Close,Adj Close,Volume
2021-11-25,1654.939941,1656.459961,1644.869995,1648.459961,1648.459961,8606300
2021-11-26,1639.540039,1640.910034,1608.550049,1610.609985,1610.609985,14088200
2021-11-29,1608.010010,1617.550049,1587.780029,1589.689941,1589.689941,9665600
2021-11-30,1601.520020,1612.099976,1565.949951,1568.689941,1568.689941,12215600
2021-12-01,1576.260010,1591.859985,1563.040039,1590.810059,1590.810059,8240400
2021-12-02,1583.380005,1592.000000,1580.079956,1591.839966,1591.839966,7972200
2021-12-03,1593.079956,1597.250000,1587.530029,1588.189941,1588.189941,7998100
2021-12-07,1600.170044,1611.579956,1595.140015,1609.280029,1609.280029,8871400
2021-12-08,1617.089966,1621.209961,1610.300049,1618.359985,1618.359985,9884100
2021-12-09,1621.630005,1623.819946,1612.569946,1618.229980,1618.229980,10130200
2021-12-13,1626.260010,1628.930054,1618.569946,1625.829956,1625.829956,10397200
2021-12-14,1619.689941,1630.930054,1616.510010,1630.640015,1630.640015,9946600
2021-12-15,1628.010010,1630.890015,1622.489990,1623.660034,1623.660034,10625900
2021-12-16,1629.479980,1645.439941,1624.310059,1645.319946,1645.319946,10346700
2021-12-17,1644.099976,1646.849976,1637.089966,1641.729980,1641.729980,9972400
2021-12-20,1631.219971,1633.800049,1612.959961,1615.800049,1615.800049,9202600
2021-12-21,1623.199951,1628.839966,1618.569946,1622.250000,1622.250000,12577800
2021-12-22,1628.420044,1632.329956,1624.770020,1626.790039,1626.790039,6893000
2021-12-23,1633.199951,1645.709961,1632.900024,1641.469971,1641.469971,7344600
2021-12-24,1642.640015,1644.119995,1635.189941,1637.219971,1637.219971,7129300
2021-12-27,1641.280029,1642.420044,1632.790039,1636.500000,1636.500000,6564300
2021-12-28,1640.969971,1650.280029,1640.609985,1641.520020,1641.520020,8423900
2021-12-29,1643.430054,1654.979980,1641.750000,1653.329956,1653.329956,7430100
2021-12-30,1657.290039,1660.849976,1652.369995,1657.619995,1657.619995,6530800
2022-01-04,1664.510010,1674.189941,1663.500000,1670.280029,1670.280029,9290800
2022-01-05,1672.890015,1677.949951,1670.589966,1676.790039,1676.790039,9828200
2022-01-06,1663.589966,1666.219971,1653.030029,1653.030029,1653.030029,11581600
2022-01-07,1659.150024,1662.420044,1650.530029,1657.619995,1657.619995,10326200
2022-01-10,1661.500000,1664.229980,1654.050049,1657.060059,1657.060059,10171700
2022-01-11,1659.329956,1667.699951,1659.000000,1667.119995,1667.119995,12100100
2022-01-12,1676.030029,1680.849976,1673.000000,1678.500000,1678.500000,13461700
2022-01-13,1680.829956,1682.709961,1675.739990,1680.020020,1680.020020,15930700
2022-01-14,1676.579956,1680.020020,1670.699951,1672.630005,1672.630005,16685400
2022-01-17,1675.810059,1680.390015,1672.930054,1676.869995,1676.869995,12545300
2022-01-18,1680.280029,1682.930054,1660.150024,1660.270020,1660.270020,16066500
2022-01-19,1658.859985,1667.439941,1653.380005,1658.239990,1658.239990,13832500
2022-01-20,1663.310059,1666.599976,1656.469971,1656.959961,1656.959961,12022700
2022-01-21,1651.209961,1655.420044,1641.859985,1652.729980,1652.729980,11896700
2022-01-24,1650.339966,1654.989990,1639.140015,1640.540039,1640.540039,11219400
2022-01-25,1636.329956,1641.680054,1624.290039,1639.089966,1639.089966,11009600
2022-01-26,1645.489990,1649.819946,1642.069946,1643.439941,1643.439941,9852700
2022-01-27,1633.780029,1635.140015,1617.869995,1634.170044,1634.170044,11055300
2022-01-28,1637.819946,1646.479980,1636.699951,1639.510010,1639.510010,7052200
2022-01-31,1647.680054,1655.479980,1646.880005,1648.810059,1648.810059,6870800
2022-02-01,1659.430054,1663.760010,1658.260010,1661.750000,1661.750000,6160400
2022-02-02,1665.800049,1669.500000,1658.579956,1667.750000,1667.750000,6474400
2022-02-03,1664.630005,1673.750000,1664.089966,1669.050049,1669.050049,9487300
2022-02-04,1672.900024,1678.719971,1672.390015,1674.219971,1674.219971,7177400
2022-02-07,1679.079956,1681.170044,1667.290039,1677.239990,1677.239990,0
2022-02-08,1680.609985,1685.140015,1677.479980,1684.229980,1684.229980,7841100
2022-02-09,1689.520020,1708.030029,1688.949951,1703.160034,1703.160034,10694300
2022-02-10,1705.729980,1707.439941,1696.729980,1703.000000,1703.000000,10006800
2022-02-11,1694.709961,1703.949951,1690.689941,1699.199951,1699.199951,8260100
2022-02-14,1692.890015,1694.189941,1680.829956,1684.689941,1684.689941,11234800
2022-02-15,1688.670044,1702.739990,1687.180054,1701.449951,1701.449951,9237600
2022-02-17,1709.500000,1718.550049,1708.430054,1711.579956,1711.579956,8533500
2022-02-18,1709.030029,1716.140015,1703.599976,1713.199951,1713.199951,10592600
2022-02-21,1712.949951,1713.869995,1692.130005,1694.319946,1694.319946,9978900
2022-02-22,1681.239990,1691.619995,1673.310059,1691.119995,1691.119995,8630600
2022-02-23,1694.069946,1700.349976,1686.089966,1696.449951,1696.449951,10054000
2022-02-24,1683.920044,1690.500000,1656.619995,1662.719971,1662.719971,12489700
